Search Type, N, Target, Guesses
Binary Search: Size 1000 | Average Guesses =  8.9
Linear Search: Size 1500 | Average Guesses = 536.5 
Binary Search: Size 1500 | Average Guesses =  9.2
Linear Search: Size 2000 | Average Guesses = 1000 
Binary Search: Size 2000 | Average Guesses =  9.4
Linear Search: Size 2500 | Average Guesses = 1588 
Binary Search: Size 500 | Average Guesses =  8.2
Linear Search: Size 3000 | Average Guesses = 1081.2 
Binary Search: Size 3000 | Average Guesses =  10.9
Linear Search: Size 3500 | Average Guesses = 1608.3 
Binary Search: Size 2500 | Average Guesses =  10
Binary Search: Size 4000 | Average Guesses =  11.5
Linear Search: Size 4000 | Average Guesses = 2467.5 
Linear Search: Size 4500 | Average Guesses = 1279 
Linear Search: Size 500 | Average Guesses = 199.8 
Linear Search: Size 5000 | Average Guesses = 2905.7 
Binary Search: Size 5000 | Average Guesses =  10.9
Binary Search: Size 5500 | Average Guesses =  11.5
Linear Search: Size 5500 | Average Guesses = 2490.2 
Linear Search: Size 6000 | Average Guesses = 2163.1 
Binary Search: Size 6000 | Average Guesses =  11.3
Linear Search: Size 6500 | Average Guesses = 2770.8 
Binary Search: Size 6500 | Average Guesses =  11.6
Linear Search: Size 1000 | Average Guesses = 396.5 
Binary Search: Size 7000 | Average Guesses =  11.4
Linear Search: Size 7500 | Average Guesses = 3394.2 
Binary Search: Size 7500 | Average Guesses =  12.1
Linear Search: Size 8000 | Average Guesses = 5565.2 
Binary Search: Size 8000 | Average Guesses =  11.7
Linear Search: Size 8500 | Average Guesses = 4051.4 
Binary Search: Size 8500 | Average Guesses =  11.9
Linear Search: Size 9000 | Average Guesses = 4573.3 
Binary Search: Size 9000 | Average Guesses =  11.4
Linear Search: Size 9500 | Average Guesses = 5846.1 
Binary Search: Size 9500 | Average Guesses =  12.1
Linear Search: Size 10000 | Average Guesses = 5029.9 
Binary Search: Size 10000 | Average Guesses =  12.5
Linear Search: Size 10500 | Average Guesses = 6115.3 
Binary Search: Size 10500 | Average Guesses =  12.9
Linear Search: Size 11000 | Average Guesses = 5011.4 
Binary Search: Size 11000 | Average Guesses =  12.5
Linear Search: Size 11500 | Average Guesses = 5586.1 
Binary Search: Size 11500 | Average Guesses =  12.1
Linear Search: Size 12000 | Average Guesses = 8295.2 
Binary Search: Size 12000 | Average Guesses =  12.7
Linear Search: Size 12500 | Average Guesses = 6700.5 
Binary Search: Size 12500 | Average Guesses =  12.4
Linear Search: Size 13000 | Average Guesses = 6223.2 
Binary Search: Size 13000 | Average Guesses =  13.3
Binary Search: Size 13500 | Average Guesses =  11.8
Linear Search: Size 13500 | Average Guesses = 5094.9 
Linear Search: Size 14000 | Average Guesses = 7824.7 
Linear Search: Size 7000 | Average Guesses = 3596.6 
Linear Search: Size 14500 | Average Guesses = 6731.9 
Binary Search: Size 14500 | Average Guesses =  13
Linear Search: Size 15000 | Average Guesses = 5635.2 
Binary Search: Size 15000 | Average Guesses =  12.3
Binary Search: Size 15500 | Average Guesses =  12
Linear Search: Size 15500 | Average Guesses = 6211.4 
Linear Search: Size 16000 | Average Guesses = 9098.9 
Binary Search: Size 3500 | Average Guesses =  10.7
Linear Search: Size 16500 | Average Guesses = 6635.5 
Binary Search: Size 16500 | Average Guesses =  11.8
Linear Search: Size 17000 | Average Guesses = 9636.5 
