Sort Type, N, Average Runtime
BUBBLE SORT,4000, 21.06003329753876
BUBBLE SORT,5000, 32.53598343133926
BUBBLE SORT,6000, 47.05557099580765
BUBBLE SORT,7000, 64.0064208984375
BUBBLE SORT,8000, 84.24061269760132
BUBBLE SORT,2000, 5.357333385944367
BUBBLE SORT,10000, 134.8893832206726
BUBBLE SORT,11000, 167.50851660966873
BUBBLE SORT,12000, 212.19052910804749
BUBBLE SORT,13000, 271.06924999952315
BUBBLE SORT,14000, 338.6744541883469
BUBBLE SORT,3000, 11.618708407878875
BUBBLE SORT,16000, 481.5075748920441
BUBBLE SORT,17000, 555.9357834219933
BUBBLE SORT,18000, 647.3666335821151
BUBBLE SORT,19000, 740.8070874094963
BUBBLE SORT,20000, 820.2549873948097
BUBBLE SORT,21000, 930.4124082922935
BUBBLE SORT,22000, 1035.996545803547
BUBBLE SORT,23000, 1149.2343832731246
BUBBLE SORT,24000, 1243.2977166891098
BUBBLE SORT,25000, 1375.730400133133
BUBBLE SORT,9000, 106.19191262722015
BUBBLE SORT,27000, 1617.6129497885704
BUBBLE SORT,28000, 1766.917099916935
BUBBLE SORT,29000, 1893.736916589737
BUBBLE SORT,30000, 2040.6307209134102
BUBBLE SORT,31000, 2169.064750087261
BUBBLE SORT,32000, 2346.098274886608
BUBBLE SORT,1000, 1.8062043190002441
BUBBLE SORT,34000, 2655.077258503437
BUBBLE SORT,35000, 2828.4388624072076
BUBBLE SORT,36000, 3003.1167499899866
BUBBLE SORT,37000, 3214.087858307362
BUBBLE SORT,38000, 3382.7044748067856
BUBBLE SORT,39000, 3559.9675460100175
BUBBLE SORT,33000, 2496.2911793231965
BUBBLE SORT,40000, 3800.1577750086785
BUBBLE SORT,41000, 3987.794379210472
BUBBLE SORT,42000, 4161.8544458985325
BUBBLE SORT,43000, 4382.692475199699
BUBBLE SORT,44000, 4603.671516609192
BUBBLE SORT,26000, 1493.704254281521
BUBBLE SORT,47000, 5270.770220696926
BUBBLE SORT,48000, 5546.567524898052
BUBBLE SORT,49000, 5752.132679331303
BUBBLE SORT,50000, 6016.16222909689
SELECTION SORT, 1000, 1.0910708069801331
SELECTION SORT, 2000, 3.1571460008621215
BUBBLE SORT,15000, 402.87634179592135
SELECTION SORT, 3000, 7.159579181671143
SELECTION SORT, 5000, 19.641866588592528
SELECTION SORT, 6000, 28.26846249103546
SELECTION SORT, 7000, 38.39756671190262
SELECTION SORT, 8000, 50.76987059116364
SELECTION SORT, 9000, 63.947233617305756
SELECTION SORT, 10000, 79.32918317317963
SELECTION SORT, 11000, 96.03664170503616
SELECTION SORT, 4000, 12.604941713809968
SELECTION SORT, 13000, 133.24753350019455
SELECTION SORT, 14000, 154.00457916259765
SELECTION SORT, 15000, 180.48342510461808
SELECTION SORT, 16000, 202.01414589881898
SELECTION SORT, 17000, 226.14025002717972
SELECTION SORT, 18000, 253.4138705968857
SELECTION SORT, 19000, 282.7198416829109
SELECTION SORT, 20000, 318.3253665089607
SELECTION SORT, 21000, 349.5194330096245
